Country code,Product name,Product code 1,Product code 2,Unit
WA,"Wool, silk-worm cocoons",p01.o,C_WOOL,tonnes
WA,Manure (conventional treatment),p01.w.1,C_MANC,tonnes
WA,Manure (biogas treatment),p01.w.2,C_MANB,tonnes
WA,"Products of forestry, logging and related services (02)",p02,C_FORE,tonnes
WA,Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,tonnes
WA,"Coal, lignite and peat",p10,C_CLPT,tonnes
WA,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a,C_COIL,tonnes
WA,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",p11.2,C_GASS,tonnes
WA,Other Hydrocarbons,p11.c,C_OGPL,tonnes
WA,Uranium and thorium ores (12),p12,C_ORAN,tonnes
WA,Iron ores,p13.1,C_IRON,tonnes
WA,Copper ores and concentrates,p13.20.11,C_COPO,tonnes
WA,Nickel ores and concentrates,p13.20.12,C_NIKO,tonnes
WA,Aluminium ores and concentrates,p13.20.13,C_ALUO,tonnes
WA,Precious metal ores and concentrates,p13.20.14,C_PREO,tonnes
WA,"Lead, zinc and tin ores and concentrates",p13.20.15,C_LZTO,tonnes
WA,Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,tonnes
WA,Stone,p14.1,C_STON,tonnes
WA,Sand and clay,p14.2,C_SDCL,tonnes
WA,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3,C_CHMF,tonnes
WA,Products of meat cattle,p15.a,C_PCAT,tonnes
WA,Products of meat pigs,p15.b,C_PPIG,tonnes
WA,Products of meat poultry,p15.c,C_PPLT,tonnes
WA,Meat products nec,p15.d,C_POME,tonnes
WA,products of Vegetable oils and fats,p15.e,C_VOIL,tonnes
WA,Dairy products,p15.f,C_DAIR,tonnes
WA,Processed rice,p15.g,C_RICE,tonnes
WA,Sugar,p15.h,C_SUGR,tonnes
WA,Food products nec,p15.i,C_OFOD,tonnes
WA,Beverages,p15.j,C_BEVR,tonnes
WA,Fish products,p15.k,C_FSHP,tonnes
WA,Tobacco products (16),p16,C_TOBC,tonnes
WA,Textiles (17),p17,C_TEXT,tonnes
WA,Wearing apparel; furs (18),p18,C_GARM,tonnes
WA,Leather and leather products (19),p19,C_LETH,tonnes
WA,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,tonnes
WA,"Wood material for treatment, Re-processing of secondary wood material into new wood material",p20.w,C_WOOW,tonnes
WA,Pulp,p21.1,C_PULP,tonnes
WA,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,C_PAPR,tonnes
WA,Paper and paper products,p21.2,C_PAPE,tonnes
WA,Printed matter and recorded media (22),p22,C_MDIA,tonnes
WA,Coke oven products,p23.1,C_COPR,tonnes
WA, Refined Petroleum,p23.2,C_REFP,tonnes
WA,Nuclear fuel,p23.3,C_NUCF,TJ
WA,"Plastics, basic",p24.a,C_PLAS,tonnes
WA,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",p24.a.w,C_PLAW,tonnes
WA,N-fertiliser,p24.b,C_NFER,tonnes
WA,P- and other fertiliser,p24.c,C_PFER,tonnes
WA,Chemicals nec; additives and biofuels,p24.4,C_CHBI,tonnes
WA,Rubber and plastic products (25),p25,C_RUBP,tonnes
WA,Glass and glass products,p26.a,C_GLAS,tonnes
WA,"Secondary glass for treatment, Re-processing of secondary glass into new glass",p26.w.1,C_GLAW,tonnes
WA,Ceramic goods,p26.b,C_CRMC,tonnes
WA,"Bricks, tiles and construction products, in baked clay",p26.c,C_BRIK,tonnes
WA,"Cement, lime and plaster",p26.d,C_CMNT,tonnes
WA,"Ash for treatment, Re-processing of ash into clinker",p26.d.w,C_ASHW,tonnes
WA,Other non-metallic mineral products,p26.e,C_ONMM,tonnes
WA,Basic iron and steel and of ferro-alloys and first products thereof,p27.a,C_STEL,tonnes
WA,"Secondary steel for treatment, Re-processing of secondary steel into new steel",p27.a.w,C_STEW,tonnes
WA,Precious metals,p27.41,C_PREM,tonnes
WA,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",p27.41.w,C_PREW,tonnes
WA,Aluminium and aluminium products,p27.42,C_ALUM,tonnes
WA,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",p27.42.w,C_ALUW,tonnes
WA,"Lead, zinc and tin and products thereof",p27.43,C_LZTP,tonnes
